lateral contact position,vertical contact position,yaw angle,derailment coefficient
0.02833,0.00409624,-0.00387959,-0.31084
0.0283302,0.0040963,-0.00391776,-0.314466
0.0283308,0.00409647,-0.00395241,-0.318753
0.0283318,0.00409674,-0.00398352,-0.323513
0.0283334,0.00409721,-0.00401105,-0.328595
0.0283351,0.00409767,-0.00403497,-0.333968
0.0283369,0.00409819,-0.00405523,-0.339492
0.0283387,0.0040987,-0.00407181,-0.345035
0.0283408,0.00409928,-0.00408464,-0.350723
0.0283431,0.00409992,-0.00409369,-0.356505
0.0283455,0.0041006,-0.0040989,-0.362336
0.028348,0.00410132,-0.00410023,-0.368145
0.0283508,0.0041021,-0.00409763,-0.37391
0.0283536,0.00410288,-0.00409108,-0.37954
0.0283564,0.00410368,-0.00408053,-0.384975
0.0283593,0.0041045,-0.00406596,-0.390172
0.0283623,0.00410535,-0.00404732,-0.395175
0.0283653,0.0041062,-0.00402459,-0.399883
0.0283686,0.00410714,-0.00399758,-0.40469
0.0283717,0.00410801,-0.00396639,-0.408932
0.0283748,0.00410888,-0.00393102,-0.412746
0.0283776,0.00410968,-0.0038916,-0.415835
0.0283803,0.00411043,-0.00384927,-0.418285
0.0283829,0.00411117,-0.0038084,-0.42059
0.0283858,0.00411197,-0.00376931,-0.423341
0.0283883,0.0041127,-0.00373213,-0.425885
